hsa-miR-520h,VEGFA
hsa-miR-372-3p,VEGFA
hsa-miR-106a-5p,VEGFA
hsa-miR-106b-5p,VEGFA
hsa-miR-34a-5p,VEGFA
hsa-miR-205-5p,VEGFA
hsa-miR-34b-3p,VEGFA
hsa-miR-615-5p,IGF2
hsa-miR-195-5p,FGF2
hsa-let-7f-5p,IL6
hsa-miR-199a-5p,APOE
hsa-miR-1908-5p,APOE
hsa-miR-1908-5p,DNAJA4
hsa-miR-199a-3p,DNAJA4
hsa-miR-199a-5p,DNAJA4
hsa-miR-199a-3p,APOE
hsa-miR-130b-3p,IGF1
hsa-miR-451a,MIF
hsa-miR-146a-5p,TLR4
hsa-miR-372-3p,NFIB
hsa-miR-373-3p,NFIB
hsa-miR-146a-5p,TRAF6
hsa-miR-152-3p,HLA-G
hsa-let-7f-5p,KLK10
hsa-miR-34a-5p,MET
hsa-let-7b-5p,IFNB1
hsa-miR-26a-5p,IFNB1
hsa-miR-145-5p,IFNB1
hsa-miR-34a-5p,IFNB1
hsa-let-7f-5p,KLK6
hsa-miR-130b-3p,CSF1
hsa-miR-27b-3p,SEMA6A
hsa-miR-130a-3p,IL18
hsa-miR-130a-3p,TGFB1
hsa-miR-152-5p,HLA-G
hsa-miR-145-3p,SMAD3
hsa-miR-27a-3p,TFPI
hsa-miR-494-3p,TFPI
hsa-miR-181c-5p,IL7
hsa-miR-27b-3p,MMP13
hsa-miR-222-3p,TIMP3
hsa-miR-221-3p,TIMP3
hsa-miR-125a-5p,KLF13
hsa-miR-146a-5p,CD40LG
hsa-miR-29a-3p,LPL
hsa-miR-98-5p,CCL5
hsa-miR-155-5p,RNF123
hsa-miR-155-5p,CSF1R
hsa-miR-1-3p,EDN1
hsa-miR-30c-5p,SOCS3
hsa-miR-7-5p,PIK3R3
hsa-miR-92a-3p,DUSP10
hsa-miR-100-5p,CYR61
hsa-miR-149-5p,IL6
hsa-miR-149-5p,PTGER2
hsa-miR-218-5p,LGR4
hsa-miR-93-5p,ABCA1
hsa-miR-17-5p,ABCA1
hsa-miR-9-5p,IGF2BP1
hsa-miR-98-5p,CCL2
hsa-let-7g-3p,CCL2
hsa-let-7g-3p,CCL5
hsa-miR-30a-5p,TAB3
hsa-miR-664a-3p,SOX7
hsa-miR-17-5p,VLDLR
hsa-miR-146a-5p,TGFB1
hsa-miR-34c-5p,TGIF2
hsa-miR-205-3p,VEGFA
hsa-miR-205-3p,FGF2
hsa-miR-324-5p,ETS1
hsa-miR-324-5p,SP1
hsa-miR-1228-5p,MIF
hsa-miR-302c-3p,GAB2
hsa-miR-125a-5p,MEG3
hsa-miR-101-5p,TLR2
hsa-miR-29a-5p,TAB1
hsa-miR-383-5p,TNFSF13
hsa-miR-543,MMP7
hsa-miR-126-5p,CYLD
hsa-miR-26a-5p,NAMPT
hsa-miR-199a-3p,VEGFA
hsa-miR-199a-3p,FLT1
hsa-miR-199a-3p,KDR
hsa-miR-200a-3p,HMGB1
hsa-miR-200a-3p,TP73-AS1
hsa-miR-133b,MMP14
hsa-miR-122-3p,FUT1
hsa-miR-410-5p,STAT3
hsa-miR-122-5p,VEGFC
hsa-miR-29b-3p,GRN
hsa-miR-520b,CD46
hsa-miR-520e,CD46
hsa-miR-152-3p,ADAM17
hsa-miR-125a-5p,IFNG
hsa-miR-125b-5p,NKIRAS2
hsa-let-7a-5p,NKIRAS2
hsa-miR-495-3p,CCL2
hsa-miR-193a-3p,MCL1
hsa-miR-21-5p,PIAS3
hsa-miR-21-5p,STAT3
hsa-miR-149-5p,MYD88
hsa-miR-142-3p,HMGB1
hsa-miR-518a-5p,CCL2
hsa-miR-153-5p,RICTOR
hsa-miR-19a-3p,IL10
hsa-miR-302a-5p,MMP9
hsa-miR-302a-5p,MMP2
hsa-miR-199a-5p,KL
hsa-miR-155-5p,INPP5D
hsa-miR-1269b,CDC40
hsa-miR-196a-5p,HOXB8
hsa-miR-223-5p,IGF1R
hsa-miR-29a-3p,CYP2C19
hsa-miR-128-3p,CYP2C9
hsa-miR-29a-3p,ALDH5A1
hsa-miR-29a-3p,SLC22A7
hsa-miR-143-3p,CYP2C9
hsa-miR-25-3p,CYP2B6
hsa-miR-34c-5p,NOTCH4
hsa-miR-145-5p,KLF4
hsa-miR-145-5p,POU5F1
hsa-miR-145-5p,SOX2
hsa-miR-126-3p,ADGRE5
hsa-miR-206,MET
hsa-miR-221-3p,PTEN
hsa-miR-222-3p,PTEN
hsa-miR-372-3p,CDK2
hsa-miR-372-3p,CCNA1
hsa-miR-7-5p,PSME3
hsa-miR-650,ING4
hsa-miR-181d-5p,BCL2
hsa-miR-181d-5p,HRAS
hsa-miR-137,COX2
hsa-miR-133b,PITX3
hsa-miR-21-5p,PTEN
hsa-miR-99b-5p,MTOR
hsa-miR-100-5p,MTOR
hsa-miR-100-5p,FKBP5
hsa-miR-99a-5p,FKBP5
hsa-miR-1-3p,API5
hsa-miR-494-3p,ARHGAP5
hsa-miR-200c-3p,PTPN13
hsa-miR-34a-5p,PCBP2
hsa-miR-150-5p,CXCR4
hsa-miR-491-5p,BCL2L1
hsa-miR-491-5p,TP53
hsa-miR-27a-3p,LDLR
hsa-miR-27a-3p,ZBTB10
hsa-miR-124-3p,SYCP1
hsa-miR-34a-5p,RICTOR
hsa-miR-204-5p,ANKRD13A
hsa-miR-30c-5p,TP53
hsa-miR-125a-5p,ZBTB7A
hsa-miR-23a-3p,POU4F2
hsa-miR-214-3p,POU4F2
hsa-miR-7-5p,CUL5
hsa-let-7c-5p,TRIB2
hsa-miR-522-5p,ABCB5
hsa-miR-22-3p,MALAT1
hsa-miR-22-3p,CXCR2
hsa-miR-223-3p,SLC2A4
hsa-miR-155-5p,FOXO3
hsa-miR-1-3p,SNAI2
hsa-miR-126-3p,EGFL7
hsa-miR-449a,CCND1
hsa-miR-125b-5p,SIRT7
hsa-miR-125a-5p,SIRT7
hsa-miR-34a-5p,JAG1
hsa-miR-21-5p,JAG1
hsa-miR-34a-5p,WNT1
hsa-let-7e-5p,WNT1
hsa-miR-363-3p,BCL2L11
hsa-miR-582-5p,CASP9
hsa-miR-582-5p,CASP3
hsa-miR-363-3p,CASP3
hsa-miR-483-3p,IGF1
hsa-miR-125a-5p,HDAC5
hsa-miR-34a-5p,BCL2
hsa-miR-34a-5p,FOXP1
hsa-miR-185-5p,CDK6
hsa-miR-107,CDK6
hsa-miR-223-3p,FOXO1
hsa-miR-432-5p,MECP2
hsa-miR-432-5p,RCOR1
hsa-miR-432-5p,NES
hsa-miR-214-3p,PTEN
hsa-miR-22-3p,TET2
hsa-miR-155-5p,RAD51
hsa-miR-34a-5p,FUT8
hsa-miR-370-5p,PTEN
hsa-miR-584-5p,WWP1
hsa-miR-26a-5p,FUT8
hsa-miR-455-3p,FUT8
hsa-miR-1273g-3p,PTEN
hsa-miR-34a-5p,ATG4A
hsa-miR-34a-5p,ATG4B
hsa-miR-34a-5p,ATG4C
hsa-miR-34a-5p,ATG4D
hsa-miR-34a-5p,ATG5
hsa-miR-34a-5p,ATG7
hsa-miR-34a-5p,BECN1
hsa-miR-152-5p,CD274
hsa-miR-200b-3p,CD274
hsa-miR-383-5p,IRF1
hsa-miR-106b-5p,APC
hsa-miR-148a-3p,SMAD2
hsa-miR-942-5p,IFI27
hsa-miR-200c-3p,GATA4
hsa-miR-9-5p,BCL2L11
hsa-miR-148a-3p,TGFB2
hsa-miR-218-5p,MITF
hsa-miR-125a-5p,DLL4
hsa-miR-106b-5p,SMAD7
hsa-miR-195-5p,RAF1
hsa-miR-124-3p,HMGA1
hsa-miR-199b-5p,HES1
hsa-miR-106a-5p,FAS
hsa-miR-200b-3p,ZEB2
hsa-miR-200a-3p,ZEB2
hsa-miR-21-5p,SERPINI1
hsa-miR-675-5p,MITF
hsa-miR-589-5p,MAP3K8
hsa-miR-30a-5p,CCNE2
hsa-miR-26a-5p,HMGA1
hsa-miR-223-3p,STMN1
hsa-miR-183-5p,EZR
hsa-miR-196a-5p,CDKN1B
hsa-miR-331-3p,ERBB2
hsa-miR-126-3p,SLC7A5
hsa-miR-29c-3p,VEGFA
hsa-miR-124-3p,SPHK1
hsa-miR-29a-3p,VEGFA
hsa-miR-24-3p,REG4
hsa-miR-199a-3p,ZHX1
hsa-miR-296-3p,ICAM1
hsa-miR-573,TSPAN1
hsa-miR-124-3p,HOTAIR
hsa-miR-331-3p,HOTAIR
hsa-miR-30a-5p,RPA1
hsa-miR-939-5p,SLC34A2
hsa-miR-106a-5p,HMGA2
hsa-miR-9-5p,CDX2
hsa-miR-4723-5p,ABL1
hsa-miR-320a,MCL1
hsa-miR-101-3p,EZH2
hsa-miR-375,YAP1
hsa-miR-375,SEC23A
hsa-miR-376c-3p,BCL2
hsa-miR-29a-5p,COL3A1
hsa-miR-29a-5p,SPARC
hsa-miR-135a-5p,E2F1
hsa-miR-135a-5p,DAPK2
hsa-miR-126-3p,PTPN7
hsa-miR-126-5p,PTPN7
hsa-miR-199a-3p,FUT4
hsa-miR-1181,STAT3
hsa-miR-1181,SOX2
hsa-miR-92a-3p,CD69
hsa-miR-185-5p,DNMT1
hsa-miR-185-5p,EZH2
hsa-miR-365a-3p,CCND1
hsa-miR-365a-3p,CDC25A
hsa-miR-150-5p,P2RX7
hsa-miR-133b,EGFR
hsa-miR-195-5p,RET
hsa-miR-15a-5p,RET
hsa-miR-27b-3p,RET
hsa-miR-128-3p,RET
hsa-miR-218-5p,RET
hsa-miR-191-5p,CDK9
hsa-miR-191-5p,NOTCH2
hsa-miR-191-5p,RPS6KA3
hsa-miR-222-3p,SOD2
hsa-miR-222-3p,MMP1
hsa-miR-150-5p,MYB
hsa-miR-494-3p,PTEN
hsa-miR-19a-3p,CCND1
hsa-miR-126-3p,DNMT1
hsa-miR-181a-5p,RALA
hsa-miR-223-3p,FBXW7
hsa-miR-27b-3p,CCNT1
hsa-miR-335-5p,BIRC5
hsa-miR-150-3p,MYB
hsa-miR-224-5p,TCEAL1
hsa-miR-195-5p,ARL2
hsa-miR-34a-5p,BIRC5
hsa-miR-494-3p,BAG1
hsa-miR-33b-5p,PIM1
hsa-miR-1915-3p,BCL2
hsa-miR-181a-5p,PRKCD
hsa-miR-766-3p,BAX
hsa-miR-149-3p,WNT1
hsa-miR-93-5p,DAB2
hsa-miR-451a,RAB14
hsa-miR-23a-3p,FAS
hsa-miR-155-5p,IFNGR1
hsa-miR-520b,MICA
hsa-miR-221-3p,DIRAS3
hsa-miR-197-3p,BMF
hsa-miR-197-3p,PMAIP1
hsa-miR-125a-3p,IL23R
hsa-miR-221-3p,CDKN1B
hsa-miR-214-3p,EZH2
hsa-miR-126-3p,SPRED1
hsa-miR-424-5p,WEE1
hsa-miR-145-5p,IRS1
hsa-miR-182-5p,MITF
hsa-miR-34a-5p,SIRT1
hsa-miR-141-3p,TGFB2
hsa-miR-25-3p,BCL2L11
hsa-miR-218-5p,LASP1
hsa-miR-34a-5p,YY1
hsa-miR-18a-5p,CTGF
hsa-miR-106b-5p,BCL2L11
hsa-miR-24-3p,CDKN1B
hsa-miR-125a-5p,BAK1
hsa-miR-181a-5p,ATM
hsa-miR-106b-5p,TCEAL1
hsa-miR-101-3p,RAB5A
hsa-miR-203a-3p,BIRC5
hsa-miR-30a-5p,DTL
hsa-miR-103a-3p,KLF4
hsa-miR-222-3p,RECK
hsa-miR-23a-3p,PTEN
hsa-miR-224-5p,PEBP1
hsa-miR-214-3p,CTNNB1
hsa-miR-133a-3p,EGFR
hsa-miR-182-5p,BCL2
hsa-miR-182-5p,CCND2
hsa-miR-454-3p,SMAD4
hsa-miR-155-5p,CCND1
hsa-miR-124-3p,CD151
hsa-miR-34a-5p,HDAC1
hsa-miR-24-3p,DEDD
hsa-let-7b-5p,IRS2
hsa-miR-335-5p,POU5F1
hsa-miR-200a-3p,MYB
hsa-miR-200b-3p,MYB
hsa-miR-590-5p,CHL1
hsa-miR-874-3p,HDAC1
hsa-miR-370-3p,FOXO1
hsa-miR-449a,E2F3
hsa-miR-223-3p,CDK2
hsa-miR-17-5p,BMP2
hsa-miR-106a-5p,BMP2
hsa-miR-381-3p,WEE1
hsa-miR-375,TP53
hsa-miR-20a-5p,EGR2
hsa-miR-29a-3p,MMP2
hsa-miR-520h,HDAC1
hsa-miR-362-5p,CYLD
hsa-miR-145-5p,SOX9
hsa-miR-638,SP2
hsa-miR-34b-3p,YY1
hsa-miR-34c-5p,YY1
hsa-miR-101-3p,MTOR
hsa-miR-513b-5p,HMGB3
hsa-miR-106b-5p,STAT3
hsa-miR-194-5p,RBX1
hsa-miR-25-3p,TCEAL1
hsa-miR-15a-5p,YAP1
hsa-miR-16-5p,YAP1
hsa-miR-23a-3p,APAF1
hsa-miR-184,SOX7
hsa-miR-181b-5p,ADCY9
hsa-miR-221-3p,RECK
hsa-miR-33b-5p,HMGA2
hsa-miR-31-5p,ARID1A
hsa-let-7a-5p,ARG2
hsa-miR-146a-5p,PTGS2
hsa-miR-145-5p,ADD3
hsa-miR-23a-3p,TOP1
hsa-miR-200c-3p,PIN1
hsa-miR-518b,FOXN1
hsa-miR-18b-5p,FOXN1
hsa-miR-7-5p,CCNE1
hsa-miR-504-5p,TFF1
hsa-miR-503-5p,BCL2
hsa-miR-27a-3p,BTG2
hsa-miR-378a-3p,TGFB2
hsa-miR-22-3p,LGALS9
hsa-miR-216b-5p,HDAC8
hsa-miR-125a-5p,CASP2
hsa-let-7b-5p,LGR4
hsa-miR-451a,TSC1
hsa-miR-33b-3p,HMGA2
hsa-miR-33b-3p,SALL4
hsa-miR-33b-3p,TWIST1
hsa-miR-1290,FOXA1
hsa-miR-302b-3p,CDK2
hsa-miR-126-5p,HOTAIR
hsa-miR-511-5p,TRIM24
hsa-miR-502-3p,SET
hsa-miR-381-3p,CD1C
hsa-miR-346,BCL6
hsa-miR-125a-5p,E2F3
hsa-let-7f-5p,POSTN
hsa-miR-146a-3p,CXCR4
hsa-miR-106b-5p,TNFRSF10A
hsa-miR-3127-5p,PHLPP1
hsa-miR-3127-5p,PHLPP2
hsa-miR-3127-5p,INPP4A
hsa-miR-3127-5p,INPP5J
hsa-miR-181a-5p,SAMHD1
hsa-miR-155-5p,SAMHD1
hsa-miR-1297,HMGA1
hsa-miR-497-5p,ESRRA
hsa-miR-182-5p,UQCRFS1
hsa-miR-152-3p,PTEN
hsa-miR-29a-3p,CCND2
hsa-miR-29a-3p,AKT2
hsa-miR-29b-3p,PIK3R1
hsa-miR-34a-5p,ULBP2
hsa-miR-34c-5p,ULBP2
hsa-miR-200b-3p,E2F3
hsa-miR-520c-3p,GPC3
hsa-miR-490-5p,FOS
hsa-miR-302c-3p,MICA
hsa-miR-520c-3p,MICA
hsa-miR-376a-3p,MEPE
hsa-miR-135b-5p,FOXO1
hsa-miR-142-3p,EGR2
hsa-miR-185-5p,ATR
hsa-miR-711,CDK4
hsa-miR-29a-3p,RAN
hsa-miR-34a-5p,TP53
hsa-miR-148a-3p,DNMT1
hsa-miR-7-5p,EGFR
hsa-miR-10b-5p,KLF4
hsa-miR-200b-3p,GATA4
hsa-miR-128-3p,BMI1
hsa-miR-542-3p,BIRC5
hsa-miR-34a-5p,CD44
hsa-miR-30a-5p,SNAI1
hsa-miR-128-3p,KLF4
hsa-miR-128-3p,CSF1
hsa-miR-503-5p,CCND3
hsa-miR-181a-5p,CD4
hsa-miR-375,ERBB2
hsa-miR-128-3p,LIN28A
hsa-miR-128-3p,NANOG
hsa-miR-128-3p,SNAI2
